date, ’≈Ã,ø™≈Ã,∏ﬂ,µÕ
2020/9/3,6.8468,6.8406,6.8508,6.8268
2020/9/2,6.8383,6.8278,6.8393,6.822
2020/9/1,6.8282,6.8419,6.8471,6.8115
2020/8/31,6.8484,6.8614,6.8631,6.8417
2020/8/28,6.8654,6.8934,6.8934,6.8611
2020/8/27,6.8937,6.888,6.8963,6.8745
2020/8/26,6.886,6.9065,6.9067,6.886
2020/8/25,6.9127,6.9097,6.9162,6.9074
2020/8/24,6.9196,6.914,6.9221,6.9114
2020/8/21,6.9195,6.9101,6.926,6.9001
2020/8/20,6.9158,6.9207,6.9299,6.9136
2020/8/19,6.9207,6.9173,6.9245,6.9047
2020/8/18,6.9218,6.9318,6.9349,6.9094
2020/8/17,6.9329,6.95,6.95,6.9295
2020/8/14,6.9504,6.9454,6.9533,6.939
2020/8/13,6.9451,6.932,6.948,6.9306
2020/8/12,6.9371,6.9478,6.9578,6.9327
2020/8/11,6.9463,6.9653,6.9653,6.9426
2020/8/10,6.9619,6.9651,6.9728,6.9564
2020/8/7,6.968,6.9559,6.9743,6.9525
2020/8/6,6.9535,6.9366,6.9538,6.9349
2020/8/5,6.9367,6.9645,6.968,6.935
2020/8/4,6.9734,6.9833,6.9878,6.9688
2020/8/3,6.9809,6.9796,6.9856,6.9681
2020/7/31,6.9752,6.9925,6.9927,6.9702
2020/7/30,7.0088,6.9958,7.0089,6.9925
2020/7/29,7.0018,7.0001,7.0054,6.9919
2020/7/28,7.0008,6.9885,7.0106,6.9877
2020/7/27,6.9964,7.0005,7.0065,6.9957
2020/7/24,7.0169,7.0063,7.0261,7.0031
2020/7/23,7.004,7.0083,7.0141,6.9896
2020/7/22,7.0002,6.9754,7.0123,6.9646
2020/7/21,6.9808,6.9837,6.9961,6.9791
2020/7/20,6.9838,6.9911,7.0018,6.9818
2020/7/17,6.9924,6.9939,7.0053,6.9912
2020/7/16,6.9893,6.9842,7.0028,6.9835
2020/7/15,6.9889,6.9929,7.0047,6.9818
2020/7/14,7.0075,7.0128,7.0207,7.0022
2020/7/13,6.9974,7.0013,7.0061,6.992
2020/7/10,7.0018,6.9995,7.0148,6.9992
2020/7/9,6.9942,6.9973,7.0019,6.9794
2020/7/8,7.0046,7.0222,7.0241,7.0004
2020/7/7,7.014,7.007,7.0268,7.0028
2020/7/6,7.0188,7.0653,7.0662,7.0152
2020/7/3,7.0663,7.0629,7.0702,7.0595
2020/7/2,7.067,7.061,7.0711,7.0601
2020/7/1,7.0712,7.0678,7.0725,7.0548
2020/6/30,7.0655,7.0729,7.0783,7.0594
2020/6/29,7.0811,7.0836,7.0836,7.0723
2020/6/26,7.0782,7.0782,7.0782,7.0782
2020/6/25,7.0782,7.0782,7.0782,7.0782
2020/6/24,7.0782,7.0572,7.0786,7.051
2020/6/23,7.059,7.0693,7.0896,7.0569
2020/6/22,7.0684,7.0806,7.0819,7.0659
2020/6/19,7.0723,7.0896,7.0928,7.0715
2020/6/18,7.0894,7.0935,7.0954,7.0717
2020/6/17,7.0855,7.0882,7.098,7.084
2020/6/16,7.0865,7.0761,7.0872,7.0685
2020/6/15,7.0909,7.0837,7.1002,7.0837
2020/6/12,7.0834,7.0828,7.0909,7.0729
2020/6/11,7.065,7.0587,7.0758,7.0551
2020/6/10,7.061,7.0776,7.085,7.0564
2020/6/9,7.0773,7.0705,7.0914,7.0684
2020/6/8,7.0716,7.083,7.0919,7.069
2020/6/5,7.082,7.1065,7.1156,7.08
2020/6/4,7.1103,7.1205,7.1327,7.1058
2020/6/3,7.1158,7.0939,7.1299,7.0939
2020/6/2,7.1014,7.116,7.1252,7.0973
2020/6/1,7.1278,7.1178,7.1426,7.1126
2020/5/29,7.1372,7.1595,7.1595,7.1321
2020/5/28,7.1463,7.1697,7.1697,7.1446
2020/5/27,7.1696,7.1345,7.1781,7.1345
2020/5/26,7.135,7.1335,7.1391,7.1258
2020/5/25,7.1368,7.1321,7.1435,7.1316
2020/5/22,7.1304,7.117,7.1471,7.1158
2020/5/21,7.1153,7.0943,7.1165,7.0926
2020/5/20,7.0935,7.0992,7.1098,7.0892
2020/5/19,7.0992,7.1014,7.1136,7.0945
2020/5/18,7.1097,7.1059,7.1203,7.1014
2020/5/15,7.1021,7.0957,7.1071,7.0941
2020/5/14,7.0959,7.0964,7.1049,7.0945
2020/5/13,7.0922,7.0827,7.0971,7.0827
2020/5/12,7.0829,7.0946,7.1006,7.0793
2020/5/11,7.0992,7.0768,7.1006,7.0719
2020/5/8,7.0742,7.075,7.0811,7.0689
2020/5/7,7.0843,7.106,7.109,7.0842
2020/5/6,7.1046,7.0617,7.1065,7.0617
2020/5/5,7.0622,7.0622,7.0622,7.0622
2020/5/4,7.0622,7.0622,7.0622,7.0622
2020/5/1,7.0622,7.0622,7.0622,7.0622
2020/4/30,7.0622,7.0674,7.0692,7.0478
2020/4/29,7.0768,7.0767,7.0822,7.0705
2020/4/28,7.0796,7.0842,7.092,7.072
2020/4/27,7.0865,7.0763,7.0938,7.074
2020/4/24,7.0819,7.0805,7.0876,7.0725
2020/4/23,7.0667,7.0833,7.0877,7.0628
2020/4/22,7.0842,7.0878,7.092,7.0773
2020/4/21,7.092,7.0812,7.0988,7.0793
2020/4/20,7.0736,7.0808,7.0835,7.069
2020/4/17,7.0731,7.0689,7.084,7.066
2020/4/16,7.0798,7.0725,7.0847,7.0702
2020/4/15,7.0677,7.0473,7.0693,7.0456
2020/4/14,7.0486,7.0518,7.0661,7.0421
2020/4/13,7.0526,7.0366,7.0586,7.0366
2020/4/10,7.036,7.0488,7.0505,7.0293
2020/4/9,7.0432,7.0627,7.0738,7.0313
2020/4/8,7.066,7.0649,7.0763,7.0593
2020/4/7,7.0458,7.088,7.088,7.0458
2020/4/6,7.0927,7.0927,7.0927,7.0927
2020/4/3,7.0927,7.0876,7.0998,7.0805
2020/4/2,7.084,7.1169,7.1288,7.0839
2020/4/1,7.1001,7.0812,7.1076,7.0795
2020/3/31,7.0825,7.0946,7.1015,7.0802
2020/3/30,7.1003,7.0955,7.1043,7.087
2020/3/27,7.0962,7.0626,7.0988,7.055
2020/3/26,7.0735,7.0935,7.1226,7.0683
2020/3/25,7.1148,7.0655,7.1202,7.0526
2020/3/24,7.0631,7.0869,7.0931,7.0587
2020/3/23,7.0926,7.0998,7.1242,7.0791
2020/3/20,7.096,7.1059,7.1061,7.0497
2020/3/19,7.1082,7.0483,7.1263,7.0483
2020/3/18,7.0474,7.0216,7.0481,7.0039
2020/3/17,7.0079,6.9951,7.0249,6.9869
2020/3/16,6.9933,7.0016,7.0251,6.9895
2020/3/13,7.0086,7.0299,7.0379,6.9773
2020/3/12,7.0295,6.9611,7.0373,6.9611
2020/3/11,6.9605,6.9584,6.9656,6.9442
2020/3/10,6.9564,6.94,6.9612,6.9284
2020/3/9,6.9466,6.9108,6.955,6.9108
2020/3/6,6.9321,6.9441,6.9601,6.9261
2020/3/5,6.9373,6.9378,6.9444,6.9295
2020/3/4,6.9262,6.9422,6.9522,6.9215
2020/3/3,6.962,6.9605,6.9873,6.9595
2020/3/2,6.961,6.974,6.9778,6.9516
2020/2/28,6.9919,7.0032,7.0133,6.9796
2020/2/27,7.0045,7.0154,7.0222,7.0008
2020/2/26,7.0225,7.0126,7.026,7.0126
2020/2/25,7.0135,7.011,7.0197,7.008
2020/2/24,7.0294,7.0385,7.0406,7.0237
2020/2/21,7.0271,7.0295,7.0442,7.0263
2020/2/20,7.0229,7.0074,7.0261,7.0027
2020/2/19,6.9982,7.0058,7.0133,6.9893
2020/2/18,6.9971,6.9854,7.0088,6.9854
2020/2/17,6.9813,6.9806,6.9832,6.9718
2020/2/14,6.9869,6.9734,6.9879,6.9734
2020/2/13,6.977,6.9736,6.9862,6.9724
2020/2/12,6.9719,6.9672,6.9771,6.9592
2020/2/11,6.966,6.9834,6.9834,6.9595
2020/2/10,6.9844,7.0001,7.0038,6.9772
2020/2/7,7.0015,6.9776,7.002,6.9759
2020/2/6,6.9708,6.9749,6.9828,6.9564
2020/2/5,6.9738,6.9978,7.0088,6.9668
2020/2/4,6.9985,7.0213,7.0213,6.9871
2020/2/3,7.0215,6.9371,7.0256,6.9371
2020/1/31,6.9367,6.9367,6.9367,6.9367
2020/1/30,6.9367,6.9367,6.9367,6.9367
2020/1/29,6.9367,6.9367,6.9367,6.9367
2020/1/28,6.9367,6.9367,6.9367,6.9367
2020/1/27,6.9367,6.9367,6.9367,6.9367
2020/1/24,6.9367,6.9367,6.9367,6.9367
2020/1/23,6.9367,6.9061,6.9367,6.9061
2020/1/22,6.9066,6.9104,6.9196,6.8986
2020/1/21,6.9058,6.8773,6.9096,6.8765
2020/1/20,6.8668,6.8595,6.867,6.8404
2020/1/17,6.8598,6.8756,6.8792,6.8525
2020/1/16,6.8789,6.8849,6.8939,6.8762
2020/1/15,6.8909,6.8938,6.8989,6.8837
2020/1/14,6.8841,6.8759,6.8895,6.8653
2020/1/13,6.8938,6.9122,6.9156,6.8849
2020/1/10,6.9192,6.9318,6.9398,6.9171
2020/1/9,6.9318,6.9319,6.9362,6.921
2020/1/8,6.9462,6.9543,6.9556,6.9373
2020/1/7,6.9452,6.9679,6.9711,6.929
2020/1/6,6.976,6.9686,6.9797,6.9683
2020/1/3,6.9655,6.9616,6.9759,6.9616
2020/1/2,6.9643,6.9597,6.9741,6.9568
2020/1/1,6.9632,6.9632,6.9657,6.9632
